Date,Price
20160115,3.0484
20160114,3.0235
20160113,3.0285
20160112,3.0332
20160111,3.0377
20160108,3.0214
20160107,2.9993
20160106,3.0024
20160105,2.9852
20160104,2.9642
20160101,2.9139
20151231,2.9177
20151230,2.9186
20151229,2.9063
20151228,2.9062
20151225,2.923
20151224,2.9185
20151223,2.9169
20151222,2.9308
20151221,2.9145
20151218,2.9087
20151217,2.9292
20151216,2.9352
20151215,2.964
20151214,2.9796
20151211,2.9817
20151210,2.9235
20151209,2.9165
20151208,2.91
20151207,2.9135
20151204,2.895
20151203,2.8846
20151202,2.8893
20151201,2.8907
20151130,2.9131
20151127,2.9245
20151126,2.9211
20151125,2.8884
20151124,2.8773
20151123,2.8508
20151120,2.8317
20151119,2.8427
20151118,2.8619
20151117,2.8691
20151116,2.8834
20151113,2.8637
20151112,2.8651
20151111,2.8748
20151110,2.9158
20151109,2.9207
20151106,2.9152
20151105,2.8607
20151104,2.8631
20151103,2.829
20151102,2.8239
20151030,2.9151
20151029,2.9375
20151028,2.9247
20151027,2.9041
20151026,2.89
20151023,2.9078
20151022,2.8726
20151021,2.8954
20151020,2.9003
20151019,2.9054
20151016,2.8917
20151015,2.8803
20151014,2.9137
20151013,2.9586
20151012,2.9264
