Tarih,Price2
14/05/2018,16.8
11/05/2018,16.3
10/05/2018,16.47
09/05/2018,16.5
08/05/2018,16.02
07/05/2018,16.58
04/05/2018,16.5
03/05/2018,16.75
02/05/2018,17.08
30/04/2018,16.71
27/04/2018,17.42
26/04/2018,17.06
25/04/2018,17.25
24/04/2018,17.52
20/04/2018,18.25
19/04/2018,18.87
18/04/2018,19.05
17/04/2018,18.2
16/04/2018,19.15
13/04/2018,18.26
12/04/2018,18.59
11/04/2018,18.6
10/04/2018,19.22
09/04/2018,19.77
06/04/2018,19.67
05/04/2018,19.46
04/04/2018,19.36
03/04/2018,19.43
02/04/2018,19.04
30/03/2018,19.11
29/03/2018,19.41
28/03/2018,18.58
27/03/2018,18.94
26/03/2018,19.21
23/03/2018,18.87
22/03/2018,18.8
21/03/2018,18.9
20/03/2018,18.86
19/03/2018,17.88
16/03/2018,18.29
15/03/2018,18.17
14/03/2018,18.35
13/03/2018,18
12/03/2018,17.54
09/03/2018,16.7
08/03/2018,16.87
07/03/2018,17.37
06/03/2018,17.2
05/03/2018,18.73
02/03/2018,18.75
01/03/2018,19.54
28/02/2018,19.07
27/02/2018,18.66
26/02/2018,18.92
23/02/2018,18.27
22/02/2018,17.69
21/02/2018,17.65
20/02/2018,16.7
19/02/2018,17.18
16/02/2018,17.31
15/02/2018,17.22
14/02/2018,16.51
13/02/2018,16.9
12/02/2018,17.18
09/02/2018,16.91
08/02/2018,16.15
07/02/2018,16.66
06/02/2018,17.13
05/02/2018,17.31
02/02/2018,16.63
01/02/2018,16.78
31/01/2018,16.48
30/01/2018,15.7
29/01/2018,15.66
26/01/2018,15.41
25/01/2018,15.19
24/01/2018,15.51
23/01/2018,15.62
22/01/2018,15.41
19/01/2018,14.99
18/01/2018,15.36
17/01/2018,15.45
16/01/2018,15.5
15/01/2018,14.63
12/01/2018,15.5
11/01/2018,15.66
10/01/2018,15.25
09/01/2018,16.1
08/01/2018,16.29
05/01/2018,16.33
04/01/2018,16.29
03/01/2018,16.2
02/01/2018,16.08
