Date,Consumption,Hour
29.12.2015,25900.5,S3
29.12.2015,26024.8,S4
29.12.2015,26520.0,S5
29.12.2015,27384.0,S6
29.12.2015,28947.9,S7
29.12.2015,33657.7,S8
29.12.2015,36809.0,S9
29.12.2015,37343.3,S10
29.12.2015,37820.7,S11
29.12.2015,35729.3,S12
29.12.2015,36435.0,S13
29.12.2015,36845.3,S14
29.12.2015,36583.9,S15
29.12.2015,37980.7,S16
29.12.2015,38374.2,S17
29.12.2015,36628.0,S18
29.12.2015,35271.6,S19
29.12.2015,34528.0,S20
29.12.2015,33587.6,S21
29.12.2015,33553.6,S22
29.12.2015,31549.3,S23
30.12.2015,29357.3,S0
30.12.2015,27467.4,S1
30.12.2015,26509.7,S2
30.12.2015,26014.2,S3
30.12.2015,25833.6,S4
30.12.2015,26239.5,S5
30.12.2015,27272.3,S6
30.12.2015,28862.9,S7
30.12.2015,33559.5,S8
30.12.2015,36674.3,S9
30.12.2015,37325.3,S10
30.12.2015,37762.9,S11
30.12.2015,35983.7,S12
30.12.2015,36670.3,S13
30.12.2015,37141.7,S14
30.12.2015,37071.0,S15
30.12.2015,38412.2,S16
30.12.2015,38722.2,S17
30.12.2015,36767.3,S18
30.12.2015,35470.4,S19
30.12.2015,34777.3,S20
30.12.2015,33742.9,S21
30.12.2015,33545.8,S22
30.12.2015,31412.3,S23
31.12.2015,29590.9,S0
31.12.2015,27785.4,S1
31.12.2015,26516.5,S2
31.12.2015,26091.6,S3
31.12.2015,25871.5,S4
31.12.2015,26053.8,S5
31.12.2015,26890.0,S6
31.12.2015,28103.0,S7
31.12.2015,32321.9,S8
31.12.2015,35759.1,S9
31.12.2015,37296.9,S10
31.12.2015,37768.7,S11
31.12.2015,36450.1,S12
31.12.2015,36764.2,S13
31.12.2015,36830.2,S14
31.12.2015,36026.1,S15
31.12.2015,36069.3,S16
31.12.2015,35753.3,S17
31.12.2015,33700.5,S18
31.12.2015,32030.5,S19
31.12.2015,30138.4,S20
31.12.2015,28960.5,S21
31.12.2015,28608.1,S22
31.12.2015,27705.8,S23
01.01.2016,26298.8,S0
01.01.2016,25013.0,S1
01.01.2016,23554.1,S2
01.01.2016,22486.7,S3
01.01.2016,22024.4,S4
01.01.2016,21979.3,S5
01.01.2016,22225.6,S6
01.01.2016,21866.4,S7
01.01.2016,23116.9,S8
01.01.2016,25224.3,S9
01.01.2016,27247.0,S10
01.01.2016,28930.1,S11
01.01.2016,28811.4,S12
01.01.2016,29389.8,S13
01.01.2016,29570.0,S14
01.01.2016,29412.4,S15
01.01.2016,30756.7,S16
01.01.2016,32070.2,S17
01.01.2016,31460.3,S18
01.01.2016,30750.3,S19
01.01.2016,30189.1,S20
01.01.2016,29483.5,S21
01.01.2016,29264.6,S22
01.01.2016,28090.3,S23
02.01.2016,26203.2,S0
02.01.2016,24687.7,S1
02.01.2016,23755.0,S2
02.01.2016,22914.5,S3
02.01.2016,22863.4,S4
02.01.2016,23314.4,S5
02.01.2016,23588.5,S6
02.01.2016,24004.5,S7
02.01.2016,26912.1,S8
02.01.2016,30024.5,S9
02.01.2016,32083.7,S10
02.01.2016,33412.1,S11
02.01.2016,32891.2,S12
02.01.2016,32866.8,S13
02.01.2016,32775.2,S14
02.01.2016,32573.8,S15
02.01.2016,33337.7,S16
02.01.2016,34366.7,S17
02.01.2016,33571.0,S18
02.01.2016,32627.6,S19
02.01.2016,31877.9,S20
02.01.2016,31029.4,S21
02.01.2016,30885.7,S22
02.01.2016,29600.1,S23
03.01.2016,27592.5,S0
03.01.2016,25757.8,S1
03.01.2016,24544.4,S2
03.01.2016,23856.6,S3
03.01.2016,23489.8,S4
03.01.2016,23651.0,S5
03.01.2016,23805.8,S6
03.01.2016,23383.6,S7
03.01.2016,24617.9,S8
03.01.2016,26781.4,S9
03.01.2016,28759.2,S10
03.01.2016,30183.1,S11
03.01.2016,30567.2,S12
03.01.2016,30881.5,S13
03.01.2016,31034.7,S14
03.01.2016,30958.1,S15
03.01.2016,32274.8,S16
03.01.2016,33439.2,S17
03.01.2016,33127.2,S18
03.01.2016,32426.7,S19
03.01.2016,32071.0,S20
03.01.2016,31292.3,S21
03.01.2016,30990.6,S22
03.01.2016,29438.7,S23
04.01.2016,27080.9,S0
